X,Y,ID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,WEBSITE,OWNER,BEDS,TRAUMA,HELIPAD
-83.38773193799993,39.34866733000007,12645123,ADENA GREENFIELD MEDICAL CENTER,550 MIRABEAU STREET,GREENFIELD,OH,45123,(937) 981-9400,CRITICAL ACCESS,OPEN,25,HIGHLAND,39071,USA,39.3486673300001,-83.3877319379999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.adena.org/locations/detail.dT/adena-greenfield-medical-center,NON-PROFIT,25,NOT AVAILABLE,N
-81.91990673099998,40.56509454000007,17244654,POMERENE HOSPITAL,981 WOOSTER ROAD,MILLERSBURG,OH,44654,(330) 674-1015,GENERAL ACUTE CARE,OPEN,69,HOLMES,39075,USA,40.5650945400001,-81.919906731,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.pomerenehospital.org,GOVERNMENT - LOCAL,69,NOT AVAILABLE,N
-82.45063522699995,40.04830192700007,2543055,LICKING MEMORIAL HOSPITAL,1320 WEST MAIN STREET,NEWARK,OH,43055,(740) 348-4000,GENERAL ACUTE CARE,OPEN,213,LICKING,39089,USA,40.0483019270001,-82.45063522699999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.lmhealth.org,NON-PROFIT,213,NOT AVAILABLE,Y
-83.75553126299997,40.36954177300004,5843311,MARY RUTAN HOSPITAL,205 PALMER AVENUE,BELLEFONTAINE,OH,43311,(937) 592-4015,GENERAL ACUTE CARE,OPEN,115,LOGAN,39091,USA,40.369541773,-83.75553126300001,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.maryrutan.org,NON-PROFIT,115,NOT AVAILABLE,N
-82.22471296499998,41.29506476200003,5544074,MERCY ALLEN HOSPITAL,200 WEST LORAIN STREET,OBERLIN,OH,44074,(440) 775-1211,CRITICAL ACCESS,OPEN,25,LORAIN,39093,USA,41.295064761999996,-82.224712965,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.mercyonline.org/mercy_allen_hospital.aspx,NON-PROFIT,25,NOT AVAILABLE,Y
-80.65803838799998,41.13500507400005,11844501,NORTHSIDE MEDICAL CENTER,500 GYPSY LANE,YOUNGSTOWN,OH,44501,(330) 884-3090,GENERAL ACUTE CARE,OPEN,398,MAHONING,39099,USA,41.135005074,-80.65803838800001,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.northsidemedicalcenter.net,PROPRIETARY,398,NOT AVAILABLE,Y
-113.06667486899994,37.69976036200006,1084721,VALLEY VIEW MEDICAL CENTER,1303 NORTH MAIN STREET,CEDAR CITY,UT,84721,(435) 868-5000,GENERAL ACUTE CARE,OPEN,48,IRON,49021,USA,37.699760362000106,-113.066674869,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,http://www.ihc.com,NON-PROFIT,48,LEVEL 4,Y
-111.83774055499997,39.731462162000064,2484648,CENTRAL VALLEY MEDICAL CENTER,48 WEST 1500 NORTH,NEPHI,UT,84648,(435) 623-3000,CRITICAL ACCESS,OPEN,25,JUAB,49023,USA,39.731462162000106,-111.837740555,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,http://www.cvmed.net,NON-PROFIT,25,NOT AVAILABLE,Y
-107.241936991,33.14018907900004,2887901,SIERRA VISTA HOSPITAL,800 EAST NINTH AVENUE,TRUTH OR CONSEQUENCES,NM,87901,(575) 894-2111,CRITICAL ACCESS,OPEN,25,SIERRA,35051,USA,33.140189079,-107.241936991,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,http://www.svhnm.org,GOVERNMENT - FEDERAL,25,LEVEL 4,Y
-103.18492103399996,32.762319707000074,2188240,LEA REGIONAL MEDICAL CENTER,5419 NORTH LOVINGTON HIGHWAY,HOBBS,NM,88240,(575) 492-5000,GENERAL ACUTE CARE,OPEN,186,LEA,35025,USA,32.7623197070001,-103.184921034,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,http://www.learegionalmedical.com,PROPRIETARY,186,NOT AVAILABLE,Y
